writer_id,extreme_more,moderate_more,informative_more,informative_less,clarity_more,clarity_less,open_views_more,open_views_less
6074306de42e484f0f55a212,21,52,85,19,88,6,64,16
673dacc49b7076ea013a0ba3,28,86,88,5,69,27,33,49
614b48c503acbabe9a1f2769,51,79,89,21,71,20,79,72
677c06eccfd2e8f1b71328e8,0,0,100,0,100,0,76,27
5f7afb469e43b9015ef53b9f,14,51,61,47,74,14,28,19
672fe2352654bbeef96579fa,0,1,55,1,61,11,49,10
63f9af803f5fc2fdaf3977f4,0,28,88,21,100,0,65,10
5e02285cac9e16dcddb845ef,0,0,50,0,50,0,10,0
67628ff33a15445ebd5eda69,1,1,30,2,51,0,20,2
5dc0257aff9c98465fc57ada,0,0,80,0,88,0,0,0
5c5c9a127bca5b000167acb8,52,54,38,51,78,27,82,39
672a798bccf085b76dd8053f,1,50,65,0,60,0,21,18
63c014d48a1fb74f916f4158,3,59,85,2,90,1,52,29
5c3512d27ab36100015bd89a,0,0,60,0,100,0,0,0
63d6cce305fe5a7cd2fd96ba,41,45,40,43,42,32,48,32
63d10ca8fca9ad7d2fbe4393,0,0,57,15,60,0,35,0
6162e2edc9c72d9868385779,38,56,73,20,83,32,91,76
64e73a18dd697143f75290c4,49,49,48,49,64,39,49,49
66bb4d2f18a6a22ba9a11a46,0,0,80,10,90,0,15,0
5ec3bcec194de722b74d9533,16,10,55,18,68,0,23,0
559840f1fdf99b33af690ab9,45,55,76,31,66,28,49,49
5f74c371cf5ee90cf77e175e,0,50,60,0,80,0,48,0
607ec4d244364b1b619a1b73,21,33,92,26,92,61,82,49
5989b85ce684850001dfe29c,0,55,33,30,67,29,77,13
66d46717a618219631c5a4db,0,0,60,0,70,0,0,0
6013fcd477ec31243fcd0619,35,50,79,27,80,34,76,31
63d4f0d207ffd2b65d11bed8,50,51,70,0,80,0,60,38
67657fb537308250a7520ee0,43,60,71,31,75,17,61,61
615f5864ae2a546caed7137c,10,0,50,0,70,0,70,0
5cff79bbb2dc8a0017f577e5,2,34,85,18,100,0,48,7
667d8b36a476083e2686b2c6,5,25,90,0,25,5,55,15
670d9a104c440aaf6ee94ed7,48,48,48,34,68,30,48,47
6376b5f0d01f86af62423b8b,0,0,60,0,75,0,50,0
60c4b404257aaacfe05b36b6,0,89,88,0,91,0,19,15
5b03119a22ffb50001cbcb89,26,69,76,9,82,4,51,40
5bf8367e99837f0001cf1078,2,55,90,0,74,0,55,50
669bf83199bce9f7d8bcc77f,32,33,62,38,85,18,82,18
5fe32ee96903be7623282a50,5,55,70,2,70,10,50,30
5957e12b57e9520001f78639,80,89,83,33,100,10,60,33
5e441f92bbb6cd000c5b0135,16,73,72,0,91,0,48,25
